spec,stratum,section,object,field,text,obligation,auto_class,auto_rationale,final_class
2.6-202606,prose,Getting Started,,,"Not all objects are “required,” and each object may contain several optional parameters.",obligation,,needs manual coding,X
2.6-202606,prose,Getting Started,,,"As that term is used herein, “required” attributes are designated as such if their omission would technically break the protocol.",obligation,,needs manual coding,X
2.6-202606,prose,Getting Started,,,"This means that it is technically possible for two implementers to conduct a minimally viable transaction if all required attributes are included, and impossible without them.",obligation,B,cross-field/registry language,X
2.6-202606,prose,Getting Started,,,"This does not, however, mean that including only required attributes will be satisfactory to implementers for business reasons.",obligation,,needs manual coding,X
2.6-202606,prose,Getting Started,,,"For example, a request with only required attributes does not supply any context about what is being bid on, such as whether it is for a site or app, or which site/app it is for.",obligation,,needs manual coding,X
2.6-202606,prose,Getting Started,,,"Some optional attributes are denoted ""recommended."" As that term is used herein “recommended” means that their inclusion is customary and, thus, likely to be expected by most implementers.",recommendation,,needs manual coding,X
2.6-202606,prose,Getting Started,,,"While they are not required for a minimally viable transaction to occur, the market norm is to include such attributes; implementers may be unwilling to transact unless these attributes are included.",obligation,,needs manual coding,X
2.6-202606,prose,Getting Started,,,"The designation as ""recommended"" is based on awareness of these market norms and should not be interpreted as a suggestion by IAB Tech Lab that an implementer propagate any specific attribute.",recommendation,,needs manual coding,X
2.6-202606,prose,Getting Started,,,"Implementers should determine which attributes they will make available based on discussion with their business partners, and in a manner consistent with applicable law.",recommendation,,needs manual coding,D
2.6-202606,field-desc,Getting Started,,Examples of required attributes. Grouped at the tops of tables for convenience,string; required ...,obligation,A,type/enum wording,X
2.6-202606,field-desc,Getting Started,,Examples of recommended attributes. Grouped after required attributes.,object; recommended ...,recommendation,,needs manual coding,X
2.6-202606,prose,Getting Started,,,"Example of how Required, Recommended and Optional attributes are presented.",obligation,,needs manual coding,X
2.6-202606,prose,Getting Started,,,"IMPORTANT: Since recommended attributes are not required, they may not be available from all supply sources.",obligation,,needs manual coding,X
2.6-202606,prose,2. OpenRTB Basics,,,"The win notice informs the bidder’s pricing algorithms of a success, whereas the billing notice indicates that spend should actually be applied.",recommendation,C,runtime/cross-message language,X
2.6-202606,prose,2.1 - Transport,,,"Specifically, HTTP POST is required for bid requests to accommodate greater payloads than HTTP GET and facilitate the use of binary representations.",obligation,,needs manual coding,C
2.6-202606,prose,2.1 - Transport,,,Win notices may be either POST or GET at the discretion of the exchange.,permission,D,bilateral/policy language,C
2.6-202606,prose,2.1 - Transport,,,"Calls returning content (e.g., any bid response, a win notice that returns markup) should return HTTP code 200.",recommendation,C,runtime/cross-message language,C
2.6-202606,prose,2.1 - Transport,,,"Calls returning no content in response to valid requests (e.g., an empty bid response which is one option for indicating no-bid, a win notice that does not return markup) should return HTTP 204.",recommendation,C,runtime/cross-message language,C
2.6-202606,prose,2.1 - Transport,,,"Invalid calls (e.g., a bid request containing a malformed or corrupt payload) should return HTTP 400 with no content.",recommendation,,needs manual coding,C
2.6-202606,prose,2.2 - Security,,,HTTPS is not technically required for a functioning OpenRTB implementation.,obligation,,needs manual coding,X
