payload_id,site,endpoint,side,best_fit_version,rule,severity,path,section
p000001,standard.co.uk,a.bids.ws,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000002,standard.co.uk,a.bids.ws,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000003,standard.co.uk,a.bids.ws,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000010,healthline.com,a.bids.ws,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000010,healthline.com,a.bids.ws,request,2.6-202606,openrtb.field.moved,error,user.ext.consent,Section 3.2.20
p000011,ladbible.com,a.bids.ws,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000012,unilad.com,a.bids.ws,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000013,unilad.com,a.bids.ws,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000014,unilad.com,a.bids.ws,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000015,unilad.com,a.bids.ws,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000031,huffpost.com,ads.trustx.org,request,2.6-202606,openrtb.field.deprecated,warning,imp[1].video.placement,Section 3.2.7
p000032,huffpost.com,ads.trustx.org,request,2.6-202606,openrtb.field.deprecated,warning,imp[1].video.placement,Section 3.2.7
p000033,huffpost.com,ads.trustx.org,request,2.6-202606,openrtb.field.deprecated,warning,imp[0].video.placement,Section 3.2.7
p000034,huffpost.com,ads.trustx.org,request,2.6-202606,openrtb.field.deprecated,warning,imp[0].video.placement,Section 3.2.7
p000036,huffpost.com,ads.trustx.org,request,2.6-202606,openrtb.field.deprecated,warning,imp[0].video.placement,Section 3.2.7
p000038,huffpost.com,ads.trustx.org,request,2.6-202606,openrtb.field.deprecated,warning,imp[0].video.placement,Section 3.2.7
p000046,vox.com,ads.trustx.org,request,2.6-202606,openrtb.field.undefined,error,imp[0].source,3.2.4
p000046,vox.com,ads.trustx.org,request,2.6-202606,openrtb.field.deprecated,warning,imp[0].video.placement,Section 3.2.7
p000047,theverge.com,ads.trustx.org,request,2.6-202606,openrtb.field.undefined,error,imp[0].source,3.2.4
p000047,theverge.com,ads.trustx.org,request,2.6-202606,openrtb.field.deprecated,warning,imp[0].video.placement,Section 3.2.7
p000057,thrillist.com,ads.trustx.org,request,2.6-202606,openrtb.field.undefined,error,imp[0].source,3.2.4
